,noteId,noteAuthorParticipantId,createdAtMillis,timestampMillisOfFirstNonNMRStatus,firstNonNMRStatus,timestampMillisOfCurrentStatus,currentStatus,timestampMillisOfLatestNonNMRStatus,mostRecentNonNMRStatus,timestampMillisOfStatusLock,lockedStatus,timestampMillisOfRetroLock,currentCoreStatus,currentExpansionStatus,currentGroupStatus,currentDecidedBy,currentModelingGroup
318,1542265668183232514,5E532ABDF634033EEA4C7522A443866EC0FC2CE07C3CFF50C1F1019A90C37B2A,1656539763861,1656636364497.0,CURRENTLY_RATED_NOT_HELPFUL,1714299042369,NEEDS_MORE_RATINGS,1656636364497.0,CURRENTLY_RATED_NOT_HELPFUL,1674003109873.0,NEEDS_MORE_RATINGS,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,CoreModel (v1.1),13.0
319,1542272641410686985,05F20E5BA4804D082D9F42F5E8C5F6077BE29FF37A0FA67FFCC5249A383D99DF,1656541426408,,,1714299042369,NEEDS_MORE_RATINGS,,,1674003109873.0,NEEDS_MORE_RATINGS,,,NEEDS_MORE_RATINGS,,ExpansionModel (v1.1),
320,1542269070359371776,A0E8B3AB2AEF9808C26665C260E582CE94ACFEE85A6B807420A11684C3EE1958,1656540575003,,,1714299042369,NEEDS_MORE_RATINGS,,,1674003109873.0,NEEDS_MORE_RATINGS,,,NEEDS_MORE_RATINGS,,ExpansionModel (v1.1),
321,1542279422270644233,3A8D88444F93323A7A42222D1766CEE47D3DB8A13F410B55BA9790B0EF82E9D4,1656543043093,,,1714299042369,NEEDS_MORE_RATINGS,,,1674003109873.0,NEEDS_MORE_RATINGS,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,CoreModel (v1.1),13.0
322,1542288175736963072,05EF6CF3971E9133219284F90ACEB8D9820B53DE93BD4A49D7DA633E6BD7832A,1656545130078,1656698790522.0,CURRENTLY_RATED_NOT_HELPFUL,1714299042369,NEEDS_MORE_RATINGS,1656698790522.0,CURRENTLY_RATED_NOT_HELPFUL,1674003109873.0,NEEDS_MORE_RATINGS,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,,CoreModel (v1.1),
323,1542281856489488385,467CD4B604123D99CE7FB251447E2252FB1474274480A89CE0F380CD0B4B38E4,1656543623452,1657582294519.0,CURRENTLY_RATED_NOT_HELPFUL,1714299042369,CURRENTLY_RATED_NOT_HELPFUL,1657582294519.0,CURRENTLY_RATED_NOT_HELPFUL,1674003109873.0,CURRENTLY_RATED_NOT_HELPFUL,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,ScoringDriftGuard (v1.0),13.0
324,1545231783179956225,48937FBD7CC992A54DCC115882125EAC291E3B0BA741B3A550691C57F07CB30D,1657246940785,,,1714299042369,NEEDS_MORE_RATINGS,,,1674003109873.0,NEEDS_MORE_RATINGS,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,CoreModel (v1.1),13.0
325,1545199747497168898,D81D7F2165B122C356600E5AF94167F021996E862F53B335975889D9DCC62864,1657239302882,,,1714299042369,NEEDS_MORE_RATINGS,,,1674003109873.0,NEEDS_MORE_RATINGS,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,CoreModel (v1.1),13.0
326,1545218425122865152,A6201FEA974557841687FFAAED8AA786F28B04B0290557E225925FDA0F733ADD,1657243755976,1664298863750.0,CURRENTLY_RATED_HELPFUL,1714299042369,NEEDS_MORE_RATINGS,1664298863750.0,CURRENTLY_RATED_HELPFUL,1674003109873.0,NEEDS_MORE_RATINGS,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,,CoreModel (v1.1),
327,1545219162934390784,C7B5492A4D910063D5AD730ECAA2A9C53676C3AAB811339BAB54F9C321FC9373,1657243931906,1657331495400.0,CURRENTLY_RATED_HELPFUL,1714299042369,CURRENTLY_RATED_HELPFUL,1657331495400.0,CURRENTLY_RATED_HELPFUL,1674003109873.0,CURRENTLY_RATED_HELPFUL,,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,NEEDS_MORE_RATINGS,ScoringDriftGuard (v1.0),13.0
