,participantId,enrollmentState,successfulRatingNeededToEarnIn,timestampOfLastStateChange,timestampOfLastEarnOut,modelingPopulation,modelingGroup,numberOfTimesEarnedOut
4343,15E0AB6B829A76E0F4A90C7B1A9BE193A07A4CE24CF78BC8485F7A419F10A470,earnedIn,5,1711877500977,1,CORE,13.0,0
4344,FCEF4595B193BB7F8B55A9E984B9DE1B071575952FB5362711426DFEF007BDB8,newUser,5,1711877500977,1,CORE,2.0,0
4345,5A874B0DFE02F377B0ABEE44EDC494F602127DDB2F8521337B772A04013055CA,newUser,5,1711122824900,1,CORE,0.0,0
4346,8D22021465718C2F9B2226B128281C5BAAC36AAF57C27DAA988748FF40DA6BE2,newUser,5,1711877500977,1,CORE,0.0,0
4347,90C68A47C751BB8A6A01A3F7851F6CAA77AE12B85C94C56A46DB82D2A3CC824C,earnedIn,5,1711877500977,1,CORE,13.0,0
4348,AD97D41EE112F9CE8274A124722817B60CB21BB028FCF07A02D89698C90B79DC,newUser,5,1711877500977,1,CORE,0.0,0
4349,B7F0219F3B3530023C2E618B6EBA1FA7D34EB338640C63C26D9C32FBE6161074,earnedIn,5,1711877500977,1,CORE,13.0,0
4350,BAAB62527E908038848CF162EE2158861E9A2F3508E37979EEE9F88F4A07A02A,earnedIn,5,1711877500977,1,CORE,0.0,0
4351,30D033FFB47CE05EA28B3EEE67DC005F714C334A6E75DF401AB155EECDBD1B71,newUser,5,1711877500977,1,CORE,0.0,0
4352,095C84A581B2E2E6EFB3C16CB2F26BC54912359A30D31C695930447F4E28DFFF,newUser,5,1711877500977,1,CORE,0.0,0
4353,4DFE7A2C375570A78A889E93C250BEA0879B99D4BA18B83135EA22319C8723C9,earnedOutAcknowledged,14,1712166429402,1712159915303,CORE,8.0,1
4354,F03ADDF7012497FAB9BDC18A67E2B89A3B6F2E79C100E8250587A9208F96E766,newUser,5,1678551642715,1,CORE,6.0,0
4355,11FD6E9F2CBC0304A14D54F71C40CCF6FC8BBC9A710E18FE1AD4763539DAC1A7,newUser,5,1709578909625,1,CORE,13.0,0
4356,962D013199A5D7A10D850FAE5B0879687044679238DFDD718E1EEE9D52FC8FAC,earnedIn,5,1711877500977,1,CORE,14.0,0
4357,023E7DC129A7D1CC720C7109BB491B601DD30F4B1AE70907ADF975C1D204E8CC,newUser,5,1711877500977,1,EXPANSION_PLUS,0.0,0
4358,6054A31687CF36DEC3778E80D03C833A82B07E349AF62271058B8A1F679DA5D3,newUser,5,1692351610316,1,CORE,0.0,0
4359,F113895F22EBE523437BB230D7C247800C5A8327D19ED29C8C36C032B4247975,earnedIn,5,1709578909625,1,EXPANSION_PLUS,0.0,0
4360,144F2D75DFC82D1F1120636628FFDC061BA3EE659C2D9A3F173A1CF11F2D9FA8,earnedIn,5,1711877500977,1,CORE,9.0,0
4361,BF5A94356A2355E2E6C96E11CFDC38BB086B58841F1E130DAEDA8902A1E598F6,earnedIn,5,1711877500977,1,EXPANSION,7.0,0
4362,FD0AC52F870CC7F37647F05854A5E77D557A460A11EBE638F8E9192F9E92AD72,newUser,5,1690896899122,1,CORE,9.0,0
4363,13E4E7C30F0E655332A2E3944158DAA51FB721A151C99D5846244CA33D53FD3A,earnedIn,5,1711877500977,1,CORE,13.0,0
4364,63BFBA585E9D167DBDE176B10FF0358209A5D534DD06C01CC80AEA82BADD7DC4,newUser,5,1700875163893,1,CORE,1.0,0
4365,41BD63294245BF01B2983124A31A016E5553CDDE9D6BA20C9FE05D79E7D19341,earnedIn,5,1711877500977,1,CORE,13.0,0
4366,B070F57AA0DE6E39E803C868D200ACE285F1A885B010542074E93F288626363B,newUser,5,1711877500977,1,CORE,0.0,0
4367,F50522C1C2A4DA27B77CE29B8C0DDDB98DCEEE39239215530E80410587E2A9F5,newUser,5,1699046940628,1,EXPANSION,0.0,0
4368,F54A3318AFA84C92EDB1F3AA630E50EEEF3F0E08D0399CCE60FB3F213B8C4002,earnedIn,5,1711877500977,1,CORE,13.0,0
4369,DF4DF5450767A1C4F47963EF96E6DD34E8AD7EBE8A9FE4A951B8E412EA826498,earnedIn,5,1707175958998,1,EXPANSION,0.0,0
4370,12E4E1C4E1A3896943F7889C1123B2A243095C863D43CD7A9059ED0560C23A66,newUser,5,1671576672944,1,CORE,13.0,0
4371,CAB23689C15C44911F646938015D618B8134E81AE72522EFC0EEC82B2F7D92E8,newUser,5,1711877500977,1,CORE,8.0,0
4372,E40862CEC2F8C3EA933861E3B67D037F84DEA40390A1E8004971A5D0986ECD59,newUser,5,1711877500977,1,CORE,0.0,0
4373,DBCE6237FF4E573E4750E346412E8C91EC434CB5ED627F49363E6B2222D5A80D,newUser,5,1695392328489,1,EXPANSION,7.0,0
4374,F34F2A596F86D21D08B66785312FE9E304F978A618848E7FEC5619E7A9E33B5F,newUser,5,1711877500977,1,CORE,2.0,0
4375,343819DBA5EEBDA5540CCEC1887A6FA5663D0959B79B3DBDCD4CD7BC925A0398,newUser,5,1711877500977,1,CORE,13.0,0
4376,AE41D363A970B86E24E8C81C55979B42F3AEC910FA1970B02A4D062B35733FC9,earnedIn,5,1711877500977,1,CORE,1.0,0
4377,841F88486AFE3A22CBDFB761F19FFB9E7D0D57186746B3628522C4C928E37E15,earnedIn,5,1709578909625,1,CORE,9.0,0
4378,8EF0687FA3FF328B6BEB74E88BC8742860E53B71590617E2EDD847C16D01DD51,earnedIn,5,1711877500977,1,EXPANSION,4.0,0
4379,7BC4A65DB3C8A6AF82692AEC7EFB19F2AAABAC39FD0F7FE96D709EA7D786D7B3,newUser,5,1711877500977,1,EXPANSION,0.0,0
4380,6B4D123BE7160CDA3E56FFBFA46C7CE8DDA57D67239F56C4C16A3A0F57D78497,newUser,5,1711877500977,1,EXPANSION_PLUS,0.0,0
4381,23A79243E782D3BF6D39ED910BA8BC0C51A57EBB46E3B32B589567B1657E893C,earnedIn,5,1711877500977,1,EXPANSION,4.0,0
4382,4FF0381ED8B00DC85254B59A02B31DB6B9D67247BF74DF842C09B2C05058CF42,newUser,5,1711877500977,1,CORE,6.0,0
4383,F5FABEA8F4C1A01BED0FEEDC8680B65E52832E5A8D877BCCCA40D2007EC72D93,newUser,5,1711877500977,1,CORE,6.0,0
